source,target
He turned over the matter in his mind.,他在心里反复思量这件事
It's too bad that you couldn't come.,你不能来真是太糟糕了
There's a basket under the table.,桌子底下有一个篮子
Those shoes won't do for climbing.,那种鞋子用来登山是不行的
There's nothing to forgive.,没什么可原谅的
We guarantee our products for one year.,我们保证我们的产品一年
How much does this cost?,这个几块
They are jealous of our success.,他们嫉妒我们的成功
Where do the airport buses leave from?,机场大巴从哪里出发
I lost my way in the woods.,我在树林里迷路了
Forewarned is forearmed.,凡事要预先准备好
My mother is writing a letter now.,我母亲现在正在写一封信
There wasn't anybody in the house.,没有人在家
He doesn't work here anymore.,他不再工作于此
Tom wants to sit down.,汤姆想坐下
Who's the man playing the violin?,那个正在拉小提琴的男人是谁
"""Tom started as a janitor, but he's now the president of the company.""",汤姆最初是看门人
Thanks for yesterday.,昨天的事真的要谢谢您了
I think I now have enough money to buy the car that I want.,我认为我现在有足够的钱买我想要的那辆车
You've grown so much!,你长这么大了
Tom is quite drunk now.,汤姆现在醉醺醺的了
Some people questioned his honesty.,有些人质疑他的诚实
He finally became the president of IBM.,他终于成了
That's right!,对了
The living room in my new house is very large.,我新家的客厅很宽敞
Did Tom ever tell you how he first met Mary?,汤姆告诉你他初次见玛丽的事了吗
She left her son alone in the car.,她把她儿子忘在车里
I think that everyone should study a foreign language.,我认为大家都应该学另外一种语言
Mt. Fuji can be seen from here.,从这里可以看到富士山
I really liked the gift you gave me.,我真喜欢你给我的礼物
I like each of them.,我喜欢他们每一个
Don't move.,不要动
He spoke to me when he saw me.,他看到我的时候和我说话
It could be just a coincidence.,可能只是巧合
I felt comfortable.,我感觉很舒服
I would like to have some more water.,请再给我一些水
What time does the first train leave?,第一班火车什么时候出发
What do you think I was doing?,你觉得我在干吗呢
He often quotes Milton.,他常引用米尔顿
Water evaporates when it is heated.,当水被加热时
"""When I hear that song, I remember my younger days.""",每次听到这首歌
Tom and I are in the same class.,汤姆和我在同一个班里
He gave her a piece of advice.,他给了她一个忠告
What are you going to do tonight?,你今晚要做什么
Tom doesn't write to me anymore.,汤姆不再给我写信了
He'll be back by five o'clock.,他五点左右会回来
It was extremely scary.,这太可怕了
I don't like green onions.,我不喜欢葱
"""Once he had written the letter, he sent it.""",信一写好
I thought his opinion was relevant.,我认为他的意见很中肯
The policeman didn't tow your car away.,警察没有拖走你的车
Don't hesitate to ask questions.,不要犹豫去问问题
We've got another problem.,我们又遇上问题了
I can't take the place of her as an English teacher.,我无法取代她做英语老师
I'd like to exchange this shirt that I bought yesterday.,我想去换我昨天买的这件衬衫
Tom dealt the cards.,Tom
You'd better go to bed at once.,你最好立马去睡觉
He wants to go to America.,他想去美国
We're conservative.,我们很保守
I brush my teeth twice a day.,我一天刷两次牙
They asked for an increase of salary.,他们要求加薪
Looks are not everything.,外表并不是全部
Tom was a little late.,Tom
Do you know the meaning of this word?,您知道这个词的意思吗
The museum is open from Monday to Friday.,博物馆周一到周五开门
What was it for?,那是为了什么
There was a lot of snow last winter.,去年冬天下了好多雪
She always wears black.,她总是穿著黑色的衣服
I don't know and I don't want to know.,我不知道
She refused to accept the money.,她拒绝接受这笔钱
I always keep my promises.,我总是信守我的承诺
That's the reason he became angry.,那就是他生气的理由
Be punctual.,要守时
I wonder why nobody told me.,不知道为什么没有人告诉过我
It's none of your business.,跟你没半毛钱关系
He is an American.,他是美国人
He disappeared without a trace.,他没有留下痕迹就消失了
The bike parked over there is my brother's.,那边停著的那辆自行车是我哥哥的
Tom also has one.,汤姆也有一个
Are you finished with your work?,你完成你的工作了吗
I want to stay in a hotel near the airport.,我想住在机场附近的旅馆里
"""Except for one person, everybody went home.""",除了一人
Do you think Tom is too young?,你觉得汤姆是不是太嫩了
He found me a good seat.,他帮我找到了一个好位子
He is the man you met the other day.,他是你前些时候见过的那个人
I am a good boy.,我是一个好男孩
I called Tom.,我给汤姆打了电话
You must always keep your hands clean.,您应该一直让手保持干净
We are against working on Sundays.,我们反对星期日工作
He gave me whatever help I needed.,他给了我任何我需要的帮助
Mastering a foreign language calls for patience.,精通一种外语需要耐心
Where did you guys go?,你们这些家伙去哪儿了
The police will put you in prison.,警方将把你关在监狱里
Does anyone else have any advice?,有人还有什么建议吗
I think it's time for you to grow up.,我觉得你是时候该懂事了
Smoking is not permitted on the train.,不允许在火车上吸烟
He read a book all morning.,他整个上午都在看书
She cared for her father until his death.,她照顾她的父亲直到他去世
People who break the law are punished.,触犯法律的人受到惩罚
Please take your hat off.,请您摘下您的帽子
That's too bad.,那太糟糕了
Both of my sisters are married.,我的两个姐妹都结婚了
What are you doing that for?,你正在做的那个东西是做什么用的
He is playing in his room.,他在自己房里玩
"""Although I was tired, I did what I was able to do.""",虽然我很累
My father loves everyone in the world.,我父亲爱世上的每一个人
She gave me a shy smile.,她给了我一个腼腆的笑容
That's a pheasant.,那是一只野鸡
I remember hearing that music somewhere.,我记得在哪儿听到过那首音乐
Admission to the museum is thirty dollars.,博物馆入场费是三十美元
On this small island are two large towns and many small settlements.,这个小岛上有两座大城市及许多小村镇
Tom's door is open.,汤姆的门开著
Tom said he wanted to eat Chinese food.,汤姆说他想吃中国菜
Do you want to learn French?,您想学法语吗
Few students could understand what he said.,很少有学生能了解他说的话
Hang on till I get to you.,坚持下去直到我找到你
I washed the dishes after supper.,晚饭后我洗了碗碟
Do you have children?,你有孩子吗
I can't follow your logic.,我跟不上你的逻辑
She looks unhappy.,她看起来不快乐
This is the only book I have.,这是我仅有的一本书
A foreign language can't be mastered in a year or so.,一个外国语言无法在一年左右就被掌握
Hang that picture on the wall.,把那幅画挂到墙上
He's not a hero.,他不是英雄
A bird in the hand is better than two in the bush.,一鸟在手胜过二鸟在林
Tom was advised by Mary not to go there by himself.,玛丽建议汤姆不要独自去
There are some strange animals in the zoo.,动物园里有很多奇怪的动物
I can't figure out what he means.,我不懂他的意思
They failed the exam.,他们考试失败了
How weird!,多怪啊
My sister saw it with her own eyes.,我妹妹亲眼看到它了
Would you like some more cake?,你想再来些蛋糕吗
A green carpet will not go with this blue curtain.,绿色的毯子和这条蓝色的帘子不配
Tom came to my office this morning.,汤姆今早来了我的办公室
I think it's a really good thing.,我认为它真是好事
Check your dictionary.,查词典
Prices are double what they were ten years ago.,价钱是
I am leaving next week.,我下个星期离开
"""As soon as the bell rang, the teacher came into the classroom.""",钟声一响起
You don't have to be so formal.,你没必要那么正式
We captured the thief.,我们抓住了小偷
"""I like Tom, too.""",我也喜欢汤姆
I intend to go to the barbershop.,我打算去理发店
Is he tall?,他长得高吗
We cannot overestimate the value of health.,我们不能高估健康的价值
I don't like to leave things up in the air.,我不喜欢让事情悬而未决
"""I told her not to let go of the rope, but she did.""",我叫她不要松开绳子
He hid it behind the door.,他把它藏在了门后
How do you make a box?,箱子怎么做
Why am I still here?,为什么我还在这里
Tom and Mary have a lot in common.,汤姆和玛丽有很多共同点
This smells great! What are you cooking?,闻起来好香喔
Why can't I find you?,我为什么找不到你
"""I, too, have been to Boston many times.""",我也去过波士顿很多次
I don't think it's a good idea.,我觉得这主意不行
Should we add a little more salt?,我们该不该再加点盐
The party was put off for a week.,派对延期了一周
I'd be happy to help you.,我愿意帮你
We took a wrong turn.,我们拐错弯了
I'm to blame for it.,这是我的错
The short answer is yes.,短回答是是
What did you do with that camera?,你用那台相机做了什么
He has been to Hawaii several times.,他去过夏威夷几次
Will you please let me go now?,可否请你现在让我走
He's three years older than her.,他比她大三岁
I saw it with my own eyes.,我亲眼看见了
They must have arrived home by this time.,他们在这个时候一定已经到家了
The situation is worse than I'd thought.,情况比我想的还坏
I don't blame you.,我不怪你
Let's drop by his house.,我们去拜访他吧
I play tennis once in a while.,我偶尔打网球
He ran so fast that he was out of breath.,他跑得太快
She went to Italy to study music.,她去了意大利学习音乐
Do we have enough food?,我们有足够的食物吗
I was writing a letter when he came.,当他进来的时候
My pulse is fast.,我的脉搏很快
My father is too busy to take a walk.,我父亲太忙而无法去散步
Tom is meeting Mary this afternoon.,汤姆今天下午将会见玛丽
Tom has big hands.,汤姆的手大
John's two years older than me.,John
This water tastes good.,这水很好喝
There's somebody in there.,有人在那里
"""To be very honest with you, I don't think I can do that.""",和你说句实话
Are you free tomorrow afternoon?,你明天下午有空吗
Mary has a flower in her hand.,玛丽手上有一朵花
Tom doesn't really love Mary.,汤姆不是真的爱玛丽
Everything's ready.,一切就绪
Is this your pencil?,这是你的铅笔吗
Tom said he'd be willing to do this.,汤姆说他乐意做这事
Do you have a soup bowl?,你有汤碗吗
The sum of 5 and 3 is 8.,五和三的总和是八
Not even one taxi stopped.,甚至没有一辆计程车停下来
He looked like a doctor.,他看起来像个医生
Can you play the organ?,你能演奏管风琴吗
Maybe I'll just give up soon and take a nap instead.,也许我会马上放弃然后去打盹
My front teeth stick out.,我门牙突出
Where are you now?,你现在在哪里呢
Tom began to learn French about three years ago.,汤姆大约三年前开始学法语
Are you good at calligraphy?,你擅长书法吗
I treated her as my own daughter.,我把她当成是我自己的女儿一样对待
Tom started singing.,汤姆开始唱歌
I have to give back the book before Saturday.,我必须在礼拜六之前把书还回去
Tom waved his hand.,汤姆挥手了
I'd like a table by the window.,我要一张靠窗的桌子
I'm sure you'll love what we have on the menu tonight.,我肯定你会喜欢我们今晚的菜肴
"""I tried to change her mind, but I couldn't.""",我试著改变她的心意
Maybe you're right.,也许您有道理
I prefer cats to dogs.,与狗相比
They referred to Chaucer as the father of English poetry.,他们视乔叟为英诗之父
Tom has very broad shoulders.,汤姆肩膀很宽
Don't trust him.,你别相信他
Don't miss this chance.,不要让机会溜走
Bear his advice in mind.,牢记他的建议
Tom bought a plane ticket.,汤姆买了张机票
"""It's easy to make friends, but hard to get rid of them.""",交朋友很容易
This is considered to be a matter of great importance.,这被认为是一件大事
Tom was the only boy in the entire class.,汤姆是班里唯一的男生
You let me down.,你让我失望了
Tom is 30 years old.,汤姆今年三十岁
My head hurts.,我头痛
"""Right at that instant, the bus stopped.""",就在那时
Our train is late.,我们的车误点了
Look into my eyes.,看著我的眼睛
Could you please repeat that?,能不能请你重复一下
Where did you get those old coins?,你从哪里得到这些古钱的
We enjoy reading books.,我们喜欢阅读书籍
She's leaving the country in six months.,她半年后就要出国了
He did all he could to protect his son.,他尽一切所能去保护他的儿子
Many people were waiting in line.,许多人在排队等候
The airplane made a safe landing.,这架飞机安全著陆了
Do you want something to eat?,您想吃点什么吗
Life would be impossible without the sun.,没有太阳就没有生命
"""Wherever you go, I'll follow.""",无论你到哪里
This is a good textbook.,这本课本很好
She is usually at home on Sundays.,周日她通常在家
This is true.,这是真的
Please show me around.,请带我到处看看
The cost of living has risen.,生活费升高了
How come you know so much about Japanese history?,你为什么知道这么多的日本历史
It's raining.,在下雨
We have a little time left.,我们还有一点时间
You should've started by now.,你早就该开始了
"""Once in a while, we should take a step back and think.""",有时候
Permit me to do that for you.,请允许我为你做
I don't need to do anything.,我什么都不用做
"""Tom's a beginner, but he catches on fast.""",汤姆是个初学者
You must come back before it gets dark.,你必须在天黑前回来
Tom was arrested for driving without a license.,汤姆因无证驾驶而被逮捕
It tastes really good.,它的滋味真的很好
Japan is located in the Northern Hemisphere.,日本位于北半球
She left here right away.,她马上离开了这里
We haven't seen anyone.,我们谁也没看见
Looks like today will be a long day.,看来今天会是漫长的一天啊
Everybody knew she could speak English well.,大家都知道她的英语说得很好
"""As time went on, rules were added to the game to make it safer.""",随着时间的推移
I can't wait for you.,我不能等你
I can't distinguish him from his brother.,我分不清他和他的弟弟
She lived for a long time.,她活了很久
I have so many things to tell you that I don't know where to start.,我有太多话想和你说
Take as many cookies as you want.,想吃多少饼干就吃多少
Tom said that Mary wasn't injured.,汤姆说玛丽没有受伤
Is this the right train for Tokyo?,这是开往东京正确的火车吗
Back off.,往后退点
How long have you been here?,你在这里多久了
Have you ever thought of becoming a nurse?,你曾经想过当个护士吗
The light has turned green.,信号灯变绿了哟
Everybody laughs.,每个人都在笑
Have a good Christmas.,祝您有一个愉快的圣诞节
This letter is addressed to you.,这封信是寄给你
He took poison by mistake.,他误服了毒药
This piano has probably not been tuned for years.,这台琴应该好多年没调过音了
He doesn't lie.,他不说谎
Don't believe what she says.,不要相信她说的话
How much do a dozen eggs cost?,一打鸡蛋多少钱
I don't think that we should wait.,我认为我们不应该再等
My sister takes piano lessons twice a week.,我妹妹每周上两次钢琴课
He's watching the Olympics.,他在看奥运会
Come and dance with me.,过来和我跳舞啊
That's my cat.,那是我的猫
Tom has a veterinary background.,Tom
I was still an amateur at that time.,我那时还是个外行
There was a heavy rain last night.,昨晚下大雨
He threw the ball.,他把球扔了
The leaves will turn red in two or three weeks.,再过两三周
Tom told me that I should do that.,汤姆告诉我我应该去做
He's interested in many things.,他对很多事情都有兴趣
Tom laughed.,汤姆笑了
What time does the play begin?,演出什么时候开始
He was elected mayor.,他被选为市长
You'll never be alone.,你永远不会一个人的
I'm developing an Android application.,我正在开发一个安卓应用
I see that dog almost every day.,我几乎每天都见到那条狗
This is the cheaper of the two.,这是两件里便宜的那个
Don't interrupt our conversation.,不要打断我们的谈话
Don't worry. You'll make it.,不要担心
Oil is extracted from olives.,油是从橄榄中提炼出来的
The baby was fast asleep in her mother's arms.,孩子在母亲的怀中熟睡
I went to the hospital yesterday.,我昨天去了医院
I told Tom what to do.,我告诉了汤姆要做什么
She insulted him.,她侮辱了他
What do you usually do on Sundays?,你周日通常做什么
Get serious.,认真点
How much is this umbrella?,这把伞多少钱
Which team are you a fan of?,你是哪一队的迷
Our team won the game.,我们这队赢得了比赛
I wish I were younger.,但愿我年轻一点
We had lunch at a little coffee shop.,我们在一家小咖啡店吃了午饭
I don't even want to think about what could happen.,我甚至不想去想会发生什么
Please close the door behind you.,请随手关门
Tom is drunk.,汤姆醉了
I have three million dollars.,我有三百万美圆
When are you coming home?,你什么时候回家
I gave it to the little boy.,我把它给这个小男孩
I don't feel like eating anything.,我不想吃任何东西
How could it be done without my knowing?,怎么可能在我不知道的情况下做完呢
Do you want some company?,你想要伙伴吗
Tom has already gone to bed.,汤姆已经睡了
We have no electricity.,我们没有电
There is a castle in the background of the picture.,图片的背景是一座城堡
We are all looking forward to seeing you and your family.,我们都期待看到你和你的家人
Please leave right away.,请马上离开
I don't have any sisters.,我没有姐妹
I like to take a walk after meals.,我喜欢饭后散步
It's very uncomfortable.,真让人不舒服
I collect stamps.,我收集邮票
He's the manager of the marketing department.,他是营销部的负责人
How often do you use your phone?,你多久用一次手机
Make sure to turn off all the lights before going out.,出去之前确认一下所有的灯都关了
The building is one hundred meters high.,该建筑高一百公尺
It's my job.,这是我份内的事
I'm getting choked up.,我快要激动得说不出话来了
He ran.,他跑了
I'm concerned about Tom.,我在为汤姆担心
It was not long before he got well.,不久后
Tom didn't want to disappoint Mary.,汤姆不想让玛丽失望
I'm staying at my aunt's.,我住在我姑姑家
I'm a waiter.,我是服务员
The students have returned.,学生们回来了
Go with these men.,跟这些人走
Asia is roughly four times the size of Europe.,亚洲的大小约四倍于欧洲
Tom studies philosophy at college.,汤姆在大学里学的是哲学
I like playing baseball.,我喜欢打棒球
Can you eat raw oysters?,你能生吃牡蛎吗
I'm from Boston.,他来自波士顿
She wrapped herself in a blanket.,她用一条毯子把自己裹起来
This car isn't worth repairing.,这辆车不值得修理
I couldn't have done it without you. Thank you.,没有你我无法做到
I'm thirsty.,我渴了
Turtles are reptiles.,海龟是爬行动物
I go to the country every summer.,我每年夏天都去乡下
My dad will kill me.,我爸会杀了我的
Tom has nothing to do here.,汤姆在这里没有可做的事
He seldom comes to see me.,他很少来看我
I speak English every day.,我每天都说英语
"""Helen Keller was blind, deaf and mute.""",海伦
"""Back in high school, I got up at 6 a.m. every morning.""",以前读高中的时候
Tom and Mary have been here for three hours.,汤姆和玛丽已经在这里待了三个小时
I was quite hungry.,我很饿
There are no people who don't desire peace.,没人不渴望和平
Tom and Mary discussed their future plans.,汤姆和玛丽讨论了他们未来的计划
We're neighbors.,我们是邻居
I'm really concerned about your future.,我真的很关心你的未来
This is very expensive.,这是非常昂贵的
She has a strong objection to my plan.,她强烈反对我的计划
He was considered very qualified for the job.,人们认为
He visited her house the other day.,他前几天拜访了她家
Tom needs to see you in ten minutes.,汤姆需要在十分钟内见到你
I'm very happy to see you.,我很高兴见到你
This is my new guitar.,这是我的新吉他
"""If you don't hurry, you'll miss the last train.""",再不快点你就要赶不上末班车了
How do you account for that?,你怎样作出的解释
The police accused him of theft.,警察起诉他盗窃
"""Right now, we have blueberries, blackberries, cherries, strawberries, peaches and nectarines.""",现在我们有蓝莓
Do you know me?,你认识我吗
Maybe you should just give up.,可能你应该放弃
Only a few people understood me.,只有个别人才懂了我的意思
Are you sure Tom will come back?,你确定汤姆会回来吗
Tom puts gas in his car twice a week.,汤姆每周帮车子加两次油
She put the money in the bank.,她把钱放在银行里
He gave correct answers to the questions.,他对这个问题给了正确的答案
Let's take advantage of the long weekend.,来好好利用大周末吧
He thanked me for coming.,他感谢我的到来
I don't know where my watch is.,我不知道我的手表在哪里
A wounded whale washed up on the beach.,一条受伤的鲸鱼在海滩边搁浅了
Tom isn't lying.,汤姆没有说谎
He is a tall boy.,他是一个高大的男孩
Our refrigerator isn't working.,我们的冰箱坏了
You are interested in computers.,你对电脑感兴趣
It was very nice seeing you again.,非常高兴再次见到你
Tom has been in the hospital for a month.,汤姆已经住院一个月了
I'd really like to go to Boston with you.,我不想跟你去波士顿
You'd better consult the doctor.,你最好请教一下医生
English is spoken in Canada.,在加拿大的人说英语
"""Turn on the light, please.""",麻烦开灯一下
My ideas are different from yours.,我的想法和你的不同
Who is that person?,那人谁啊
Boston is a wonderful city.,波士顿是一座非常好的城市
We can't afford to make mistakes.,我们承担不了犯错的后果
I still prefer to write letters by hand.,我更喜欢用手写信
I'm not as strong as I used to be.,我不跟以前一样强壮了
"""""""Would you like some tea?"""" """"Yes, please.""""""",""""""""""
He arrived in Tokyo yesterday.,他昨天到了东京
It's not that simple.,它没有那么简单
I usually got to bed about eleven.,我通常约十一点钟上床睡觉
Tom asked Mary where her mother was.,汤姆问玛丽她妈在哪
He has just published an interesting series of articles.,他刚发表一系列有趣的文章
This book is quite difficult.,这本书很难读
"""As we went around the corner, the lake came into view.""",当我们走到转角处
She tore the letter into pieces.,她把信成碎片
I had a pleasant dream last night.,我昨晚作了一个好梦
I'll open the window a bit.,我把窗户打开一点
I want to eat out tonight.,我今晚想出去吃
The boy is full of promise.,这个男孩很有前途
Tom was the only guy in the class.,汤姆是这个班级里唯一的男生
I have a few friends here.,我在这儿有一些朋友
I called him up yesterday.,我昨天打电话给他
I will be free tomorrow afternoon.,我明天下午有空
She squeezed the juice from many oranges.,她用了许多柳橙来榨汁
Please write with a pencil.,请用铅笔写
Could you bring me some water?,你能带给我一些水吗
It had to be Tom that did that.,一定是汤姆做的
Driving on a slippery road can lead to a car wreck.,在光滑的路上开车会导致车祸
I was unable to go to his birthday party.,我那时没法去他的生日派对
He told me that I looked pale and asked me what the matter was.,他跟我说我很苍白
"""According to TV news, there was a plane crash in India.""",根据电视新闻
It is difficult for me to answer the question.,这个问题对我来讲很难回答
Tom is trying to figure out how to do that now.,汤姆现在正在想办法去做那件事
I couldn't leave Tom.,我不能离开汤姆
I suggest we go out on Friday.,我建议我们星期五出去玩
The clock stopped.,钟停了
The dress fits you very well.,这条裙子你穿着很合身
"""Hold on a minute, please.""",请稍等一下
I'm worried about my weight.,我担心我的体重
Do you belong to any clubs?,您隶属哪家俱乐部吗
There's somebody who wants to meet you.,有一个人想见你
I'm kidding.,我开玩笑
I might be able to fix that.,我或许可以修好它
We won't go out unless it stops raining.,除非雨停了
You have to get this work finished by noon.,你必须在中午以前完成这个工作
I hurried in order to catch the first train.,我匆匆忙忙
It's boring to stay at home.,呆在家里很无聊
This is a very hard mattress.,这个床垫很硬
Our team scored the first goal.,我们队进了第一个球
I'm still angry.,我还是很气
What have you done with my bag?,你用我的袋子做了什么
I didn't ask Tom for help.,我没有找
Tom claims he doesn't remember.,汤姆声称他不记得了
It's time for dinner.,吃晚饭的时间到了
I'd like a room in the front.,我想要一间前面的房间
How cute!,多可爱啊
What is done cannot be undone.,覆水难收
Quite a few Americans like sushi.,不少的美国人喜欢寿司
You're welcome.,您不必感谢我
Tom didn't take his shoes off.,汤姆没脱鞋
I can't recall the last time we met.,我想不起来我们上次见面的情况了
This company is listed on the Paris stock exchange.,这家公司在巴黎证券交易所上市了
I've been requested to help you.,有人请我帮你
Do you know the reason?,你知道是什么原因吗
I know that Tom is watching me.,我知道汤姆在看着我
Tom hasn't said a word all morning.,汤姆整整一个上午一句话也没说
I didn't get everything I wanted.,我没有得到我所有想要的
Tom embraced his son.,汤姆抱他儿子
Please eat some cake.,请吃点蛋糕
I thought it was true.,我以为这是真的
I've something interesting to tell you that you might find surprising.,我有有趣的事要告诉你
I'm looking forward to seeing him.,我期待再次见到他
I managed to make him understand it.,我设法让他明白了
"""He's very smart, and he's handsome too.""",他很聪明
She was beautiful when she was young.,她年轻时很美丽
Just take my word for it.,请相信我的话
I'm so stupid.,我真蠢
I received a letter from her.,我收到了她的来信
My father retired at 65 years old.,我父亲在六十五岁时退休
I turned it off.,我把它关了
This is my favorite.,这是我最喜欢的
Tom is used to cooking on a campfire.,汤姆习惯用营火做菜
Tom is probably still studying French.,汤姆可能还在学法语
Tom has been quite cooperative.,汤姆很合作
Did you see the eclipse yesterday?,你看了昨天的月蚀了吗
Don't trust anyone here.,你在这别相信任何人
The offer is too good to turn down.,此提议好得令人难以拒绝
I want to go to see a movie.,我要去看电影
You should come home before six.,六点之前要回家
This is surprising.,这是令人吃惊的
The parking lot is free of charge.,停车场是免费的
She gave him a lot of money.,她给了他很多钱
Let me do this for you.,让我为你做这件事
He knows how to swim.,他会游泳
I haven't eaten anything since yesterday.,我从昨天起没有吃任何东西
What just happened?,刚刚发生了什么
That guy drives me crazy.,那家伙让我发疯
You may go anywhere.,你可以随便去哪儿
"""If you do your best, you will succeed.""",如果你尽力而为
She always speaks in a low voice.,她总是低声地说话
He is hard to get along with.,他这个人很难相处
I don't know right now.,我现在不知道
"""If you do it this way, you can save several hours.""",这样做你能节约几个小时
Who can tell what will happen in the future?,谁能说将来会发生什么呢
Can you explain why you were late?,你能解释一下你为什么迟到吗
I'd never let you kiss me.,我永远也不会让您亲我
Get real.,醒醒吧
He left after he had lunch.,他吃过午餐就出去了
I feel like another beer.,我想再来一杯啤酒
You ought to tell Tom that you'll likely be late.,你应该告诉汤姆你可能会迟到
It looks suspicious.,看上去很可疑
Tom is going to tell Mary he's busy.,汤姆会和玛丽说他很忙
"""To my surprise, the door was unlocked.""",令我惊讶的是
Thank you for the pleasant evening.,谢谢你让我度过一个愉快的晚上
I'll send my mother a letter.,我会给我的母亲寄封信
Speaking English isn't easy.,说英语是不容易的
Tom told Mary that it would probably snow all day.,汤姆告诉玛丽雪可能会下一整天
Your behavior is intolerable.,你的行为让人无法忍受
I promised Tom that I wouldn't say anything.,我对汤姆发誓我不会说任何话了
She used to play tennis on Sunday.,她以前在周日打网球
You'll get used to it.,你会习惯的
He isn't here because he's ill.,他不在这儿
There are exceptions to every rule.,每条规则都有例外
I received your letter.,我收到了您的信
There are many mysteries in life.,人生中有许多不可解的事物
Don't go above the speed limit.,不要超速
What is this?,这是什么
This chair is uncomfortable.,这个椅子坐着不舒服
How was the fishing?,钓鱼怎么样
I can't stand this noise any longer.,我无法再忍受这个噪音了
Can you help me a little?,你能帮我一点忙吗
Nobody noticed that she was absent until the end of the meeting.,直到会议结束之前都没人注意到她不在
I don't need this at all.,我根本不需要这个
There were fifty passengers on the plane.,飞机上有
Tom checked the TV schedule to see what was on.,汤姆检查电视时间表
I use Twitter.,我用
How long has it been going on?,那持续了多久了
Who'll be elected chairman?,谁将当选主席呢
What's the spelling of your family name?,你的姓怎么拼
"""At that time, Tom was sitting between Mary and John.""",在那个时候
We ordered Chinese food.,我们点了中餐
The sky turned dark.,天暗了下来
I gave my sister a dictionary.,我给了我妹妹一本字典
Please close the door.,请关门
I fed the leftovers to my dog.,我把剩下的东西给我的狗吃
Tom says he can communicate with the dead.,Tom
Where are the strawberries?,草莓在哪里
What I hate most of all is having to recite texts from memory.,我最讨厌背诵课文了
Tom said he'll ask Mary to do that.,汤姆说他会让玛丽去做
He was in time for the appointment.,他及时赴约了
It's fun to travel.,旅行是令人快乐的
The worst is already over.,最坏的已经过去了
Why is the table so wobbly?,桌子为什么这么晃
He will come back sooner or later.,他迟早会回来的
The door clicked shut.,门咔哒一声关上了
