Token,Index
他理,194
头发,195
它,196
永远,197
都,198
只有,199
专家,200
区分,201
出,202
它们,203
不同,204
太早,205
件,206
大衣,207
需要,208
很多,209
钱,210
学生,211
们,212
机会,213
股市,214
赚,215
一大笔钱,216
当然,217
想,218
看,219
村庄,220
有条,221
窄路,222
患上,223
重感冒,224
出名,225
认为,226
我能,227
帮点,228
忙,229
房间,230
没有,231
时钟,232
变得,233
紧张,234
仔细,235
报告,236
回答,237
露齿,238
而,239
笑,240
经常,241
吃饭,242
时读,243
这辆,244
车靠,245
天然气,246
驱动,247
这桶,248
装满,249
水,250
明天,251
一场,252
足球比赛,253
朋友,254
穿,255
衣服,256
看起来,257
价格不菲,258
嗜好,259
模型飞机,260
帐单,261
给,262
好,263
穿着,264
昨天,265
要,266
帮助,267
还是,268
说,269
法语,270
由于,271
Mary,272
失去,273
拥有,274
一切,275
您,276
投,277
票,278
所作所为,279
总是,280
惊讶,281
放弃,282
可以,283
打开,284
这扇,285
窗,286
谈论,287
各种各样,288
话题,289
父母,290
爱,291
自己,292
找,293
钢笔,294
没什么,295
担心,296
能游,297
得,298
跟,299
快,300
有时,301
帮,302
棒球,303
邻居,304
相处,305
这是,306
一张,307
机场,308
照片,309
小孩,310
更,311
多,312
时间,313
呆,314
一起,315
不太好,316
亲切,317
喝啤酒,318
帮忙,319
办公室,320
三楼,321
没,322
打,323
玛莉,324
公园,325
玩耍,326
日本大使馆,327
哪里,328
也,329
巧克力,330
蓝莓,331
酱藏,332
享子,333
看不到,334
狗,335
稍等一下,336
特别,337
橘子,338
胜过,339
苹果,340
家庭,341
如果,342
的话,343
仔细听,344
坐在,345
长椅,346
沿著河,347
散步,348
这家,349
酒店,350
服务,351
两套,352
一只,353
船,354
预言,355
成真,356
打扫,357
完,358
有点,359
活泼,360
本,361
用,362
更好,363
方式,364
处理,365
可不,366
这么,367
讨论,368
过,369
那个,370
上学,371
前先,372
离开,373
母亲,374
醉,375
支持,376
放点,377
盐,378
滚水,379
本来,380
付账,381
暴风雨,382
发展,383
成,384
台风,385
另,386
一杯,387
咖啡,388
诚实,389
从不,390
偷钱,391
放下,392
你们,393
武器,394
同意,395
像,396
以前,397
那么,398
拖延,399
波士顿,400
聪明能干,401
要求,402
相反,403
早点,404
猫,405
会,406
离婚,407
谁,408
负责,409
销售,410
部门,411
字典,412
每个,413
向,414
曾,415
那里,416
遇见,417
大方,418
可怜,419
女孩,420
瞎,421
单独,422
谈一谈,423
现在,424
想点,425
饮料,426
使,427
长大成人,428
法律,429
之前,430
人人平等,431
一切顺利,432
再见,433
晚安,434
不想,435
养,436
大,437
宝宝,438
一项,439
艰难,440
生于,441
丢,442
活到老,443
河里,444
今天,445
热,446
这件,447
事,448
真的,449
感动,450
三岁时,451
所,452
学校,453
为什么,454
碗,455
旁边,456
检察官,457
引导性,458
部,459
电影,460
值得一看,461
附近,462
公交站,463
正在,464
吃,465
找到,466
东西,467
情人节,468
车,469
银行,470
前面,471
停下来,472
一百年,473
称为,474
世纪,475
工资,476
低,477
早上,478
走得,479
很早,480
一点,481
懂,482
格雷厄姆,483
格林,484
作家,485
开往,486
东京,487
正确,488
火车,489
声音,490
悦耳,491
改变,492
任何,493
睡觉,494
头皮,495
痒,496
天文学,497
哪儿,498
平均,499
一分钟,500
眨,501
几次,502
眼睛,503
一天,504
买,505
一台,506
棉花,507
糖机,508
电脑,509
建议,510
唱歌,511
闭上,512
嘴,513
这台,514
自动,515
贩卖机,516
故障,517
纽约,518
部份,519
鱼,520
感谢,521
到来,522
一辈子,523
只会,524
出现,525
这样,526
门票,527
多少,528
呢,529
胡椒,530
递给,531
别,532
马路,533
中间,534
嬉戏,535
加入,536
陆军,537
溪水,538
流,539
进,540
池塘,541
其中,542
行李,543
不见,544
海龟,545
爬行动物,546
借给,547
一盘,548
有人,549
准备,550
好了吗,551
图书馆,552
你们好,553
错误,554
归咎于,555
煮,556
蛋,557
佩服,558
勇气,559
没人会,560
打扰,561
颜色,562
外套,563
错,564
司机,565
还有,566
不好意思,567
去求,568
羞怯,569
地,570
一眼,571
年轻人,572
轨道,573
不配,574
听,575
起来,576
不像,577
企业,578
生活区,579
花,580
慢慢来,581
医生,582
治好,583
病,584
明白,585
如何,586
使用,587
乐观,588
者,589
灾祸,590
中,591
看到,592
打算,593
走,594
独自,595
嫉妒,596
成功,597
的确,598
比,599
年轻,600
这些,601
患者,602
走路,603
困难,604
大学教授,605
守,606
著,607
秘密,608
骑马,609
无法回答,610
若,611
姿态,612
就,613
完美,614
尊敬,615
长辈,616
拿,617
起,618
罐子,619
标签,620
耶诞节,621
得到,622
预订,623
寄给,624
生日,625
贺卡,626
我家,627
离,628
很近,629
真相,630
根本,631
实施,632
逮捕,633
行动,634
怀疑,635
故事,636
见到,637
弟弟,638
去年,639
于,640
癌症,641
戴,642
那条,643
围巾,644
行为,645
太远,646
原谅,647
深深地,648
被,649
仁慈,650
为了,651
重要,652
约会,653
决定,654
派对,655
下棋,656
下得,657
蔬菜,658
甚至,659
和玛丽,660
说话,661
别用,662
机翻,663
冒险,664
足球,665
人们,666
依赖,667
保留,668
位置,669
守住,670
很难,671
累,672
能够,673
一份,674
力,675
太好了,676
答案,677
善于,678
砍价,679
脸红,680
什么样,681
葡萄酒,682
行得通,683
解决,684
这要,685
胆量,686
出来,687
弹钢琴,688
男人,689
伸出,690
手,691
医院,692
检查,693
学法语,694
全部,695
开除,696
火,697
灭,698
救,699
习惯,700
早起,701
下,702
再次,703
提醒,704
口袋,705
摸,706
钱包,707
六岁,708
意识,709
动物园,710
阅读,711
一些,712
侦探小说,713
抱歉,714
善用,715
一定,716
谨慎,717
位,718
政治家,719
以,720
满意,721
头痛,722
样子,723
六点,724
大小,725
鸡蛋,726
很饱,727
活著,728
欠,729
该是,730
买间,731
计程车,732
承认,733
那晚,734
昨晚,735
认识,736
度假,737
诗人,738
女人,739
表达,740
火热,741
激情,742
那边,743
停著,744
那辆,745
自行车,746
灯,747
已关,748
戴眼镜,749
不该,750
那样,751
讲话,752
辆,753
新车,754
差不多,755
完成,756
丑闻,757
付出,758
代价,759
拍照片,760
接下来,761
二千,762
本书,763
成为,764
哲学家,765
睡着,766
Tom,767
，,768
不用说,769
大象,770
有长,771
鼻子,772
奇怪,773
梦,774
今晚,775
打电话,776
新,777
鞋子,778
世界,779
白痴,780
一般来说,781
关门,782
七点,783
随手关门,784
很棒,785
肉,786
月亮,787
很圆,788
下雪,789
关心,790
未来,791
整夜,792
听到,793
狗叫,794
从,795
上个月,796
开始,797
工程师,798
叫醒,799
天亮,800
前,801
这座,802
城市,803
海拔,804
一周,805
有四堂,806
课,807
阻止,808
点,809
叔叔,810
立下,811
遗嘱,812
很漂亮,813
感到,814
内疚,815
队里,816
最棒,817
球员,818
玩,819
俄罗斯,820
方块,821
能力,822
最好,823
立刻,824
剪头发,825
马上,826
有趣,827
铅笔,828
克服,829
日元,830
升高,831
多大,832
晚上,833
有没有,834
上班,835
桥,836
建造,837
野餐,838
举办,839
舞会,840
儿子,841
四亿人,842
作为,843
第一,844
语言,845
学习,846
空手道,847
以为,848
大夫,849
继续,850
努力,851
表,852
一辆,853
红色,854
汽车,855
怎么,856
话,857
急忙,858
跑,859
鸟会,860
飞,861
第一次,862
澳大利亚,863
开,864
无法,865
跟上,866
随,867
我本,868
先问,869
妈妈,870
在家,871
太太,872
兼职,873
赚进,874
额外,875
马停,876
下来,877
啤酒,878
不介意,879
回到,880
家,881
先,882
这有,883
多长,884
浪漫,885
男友,886
睡,887
点觉,888
有意,889
保密,890
安慰,891
我吹次,892
中音,893
萨克斯风,894
班里,895
最高,896
光着,897
脚,898
漫步,899
床上,900
天,901
渐渐,902
黑,903
哪些,904
科目,905
看见,906
大巴车,907
像是,908
恋爱,909
随时,910
清白,911
记得,912
凭,913
长相,914
英国人,915
美国,916
喝,917
不管怎样,918
暗示,919
下个月,920
将,921
澳洲,922
红葡萄酒,923
白葡萄酒,924
午饭,925
小憩,926
一,927
讲,928
一口,929
流利,930
来得,931
很快,932
火星,933
生命,934
太,935
拿掉,936
婚戒,937
待,938
这儿,939
是不是,940
麻烦事,941
直到,942
没人,943
注意,944
困惑,945
浴缸,946
桌子,947
躺,948
右边,949
将会输,950
结果,951
证明,952
蛋糕,953
科学家,954
正,955
终结,956
艾滋病,957
一直,958
三岁,959
建筑物,960
所有人,961
地震,962
了解,963
晚饭,964
外出,965
不下,966
必要,967
这门,968
课买本,969
教材,970
十月,971
疑惑,972
车祸,973
数羊,974
爸爸,975
周末,976
回家,977
读完,978
书,979
之后,980
哪,981
高兴,982
陪伴,983
警方,984
收取,985
贿赂,986
确定,987
要说,988
下周,989
才能,990
凑成,991
一对,992
自信,993
重力,994
带,995
地球表面,996
机器,997
修理,998
韩国,999
料理,1000
忘,1001
受够,1002
吃快餐,1003
当心,1004
放松,1005
结帐,1006
左右,1007
起床,1008
好吃,1009
做梦,1010
似的,1011
请求,1012
置若罔闻,1013
突然,1014
戒烟,1015
颗,1016
钓鱼,1017
高手,1018
死亡,1019
如同,1020
手套,1021
帮上,1022
停,1023
显然,1024
更糟,1025
剪,1026
妹妹,1027
装病,1028
没用,1029
九点,1030
见,1031
间谍,1032
比起,1033
面包,1034
老人,1035
树荫下,1036
休息,1037
取笑,1038
愿意,1039
跟着,1040
所谓,1041
陌生人,1042
寄,1043
送到,1044
日本,1045
一到,1046
到达,1047
山顶,1048
两张,1049
图片,1050
之间,1051
细致,1052
差异,1053
一下,1054
绝不能,1055
后退,1056
一步,1057
跌倒,1058
设法,1059
控制,1060
毫不,1061
费劲,1062
公司,1063
赶快,1064
兄弟,1065
真,1066
放在,1067
耳朵,1068
后面,1069
后悔,1070
夏天,1071
农场,1072
想到,1073
外国,1074
读书,1075
理由,1076
丝毫,1077
想法,1078
捕鱼,1079
达,1080
羞耻,1081
囚犯,1082
窃贼,1083
闯进,1084
晚餐,1085
六点半,1086
开饭,1087
糟糕,1088
不过,1089
往右,1090
拐,1091
大家,1092
教,1093
写作,1094
完全,1095
迟到,1096
厨房,1097
快点,1098
前一天,1099
相机,1100
年纪,1101
不比,1102
煮肉,1103
地区,1104
安静,1105
老板,1106
高,1107
评价,1108
爱好,1109
叫,1110
小偷,1111
试着,1112
把门,1113
推开,1114
成亲,1115
谢谢,1116
见面,1117
三年,1118
马铃薯,1119
误点,1120
从来,1121
去过,1122
夜猫子,1123
别死,1124
没盐,1125
家人,1126
吃太多,1127
拿出,1128
“,1129
撒谎,1130
无权,1131
干涉,1132
家庭事务,1133
邀,1134
参加,1135
骗,1136
刚,1137
发表,1138
一系列,1139
文章,1140
家里,1141
海军,1142
以后,1143
镇上,1144
愉快,1145
合作,1146
多一点,1147
下午,1148
逛街,1149
不必,1150
瞧不起人,1151
罪犯,1152
战争,1153
交了,1154
书架上,1155
典型,1156
试过,1157
用水,1158
肺,1159
潜水,1160
窗口,1161
爬,1162
进来,1163
免费,1164
看来,1165
严重,1166
湿布,1167
清洁,1168
窗户,1169
毫无,1170
间断,1171
有空,1172
星期日,1173
能载,1174
值得,1175
厌倦,1176
老,1177
笑话,1178
一名,1179
美,1180
容易,1181
看出,1182
区别,1183
去世,1184
别无选择,1185
只能,1186
冒着危险,1187
不著,1188
有权,1189
友谊,1190
受到,1191
考验,1192
早餐,1193
喝牛奶,1194
消息,1195
接,1196
绑匪,1197
迹象,1198
信,1199
日语,1200
译成,1201
案件,1202
短时间,1203
内,1204
秋天,1205
搬到,1206
试,1207
三次,1208
尽快,1209
出租车,1210
镇里,1211
一生,1212
不常笑,1213
贝加尔湖,1214
最深,1215
湖泊,1216
演讲者,1217
精彩,1218
演说,1219
留下,1220
深刻,1221
印象,1222
全神贯注,1223
有些,1224
反对,1225
意见,1226
来说,1227
来自,1228
停止,1229
射击,1230
位子,1231
看过,1232
铁塔,1233
婚礼,1234
举行,1235
貌似,1236
通缉令,1237
数学,1238
那事,1239
今天下午,1240
直行,1241
事故,1242
转角,1243
但愿,1244
吉他,1245
脑瓜,1246
灵,1247
辍学,1248
别人,1249
礼貌,1250
感激,1251
常有,1252
被选为,1253
市长,1254
茶水,1255
新书,1256
书名,1257
道歉,1258
门边,1259
旁,1260
这部,1261
迄今为止,1262
一部,1263
终于,1264
本该,1265
表是,1266
不来,1267
实际上,1268
我错,1269
寻求,1270
活着,1271
麻烦,1272
开灯,1273
看上去,1274
坐下,1275
强烈,1276
要是,1277
穿坏,1278
我刚,1279
早饭,1280
洗衣机,1281
生气,1282
时,1283
同龄,1284
屋顶,1285
白鸽,1286
年龄,1287
足够,1288
班级,1289
最近,1290
卖场,1291
女朋友,1292
哭,1293
接受,1294
手术,1295
宁愿,1296
不吃,1297
护照,1298
偷,1299
眼镜,1300
戴上,1301
虐待,1302
动物,1303
清扫,1304
鄙视,1305
只要,1306
跟我来,1307
国会,1308
周二,1309
开会,1310
一块,1311
漂亮,1312
手表,1313
穿著,1314
高跟鞋,1315
钥匙,1316
仍然,1317
也许,1318
春天,1319
周三,1320
没课,1321
队伍,1322
红酒,1323
不合,1324
好好,1325
利用,1326
杰出,1327
人类,1328
唯一,1329
彼此,1330
交谈,1331
量量,1332
血压,1333
新闻,1334
不安,1335
令人难忘,1336
事件,1337
开车,1338
小心,1339
六,1340
呎,1341
喝醉,1342
军队,1343
占领,1344
整片,1345
领土,1346
伦敦,1347
全世界,1348
最大,1349
之一,1350
不怪,1351
拿到,1352
楼上,1353
课上,1354
怎样,1355
太嫩,1356
北极熊,1357
死去,1358
那位,1359
先生,1360
靠,1361
加拿大人,1362
就是,1363
命令,1364
黎明,1365
海啸,1366
警报,1367
解除,1368
几岁,1369
出发,1370
对不起,1371
将来,1372
艺术家,1373
第二个,1374
结婚,1375
并,1376
定居,1377
星期天,1378
树,1379
长,1380
草原,1381
马,1382
倒下,1383
脖子,1384
断,1385
开心,1386
误认为,1387
推销员,1388
有个,1389
被车撞,1390
女儿,1391
床,1392
床好,1393
五十,1394
美分,1395
会议室,1396
睡著,1397
几天,1398
站,1399
伙伴,1400
十分钟,1401
十一点,1402
搬,1403
两天,1404
多么,1405
想念,1406
记者,1407
批评,1408
忙于,1409
写,1410
那本,1411
曲棍球,1412
中国,1413
流行,1414
有望,1415
变晴,1416
门锁,1417
用少,1418
预算,1419
旅行,1420
小男孩,1421
一种,1422
世界性,1423
我要,1424
一遍,1425
丈夫,1426
显微镜,1427
望远镜,1428
差别,1429
违反,1430
黄油,1431
往往,1432
活得,1433
更长,1434
七八点,1435
症状,1436
清楚,1437
正面,1438
或许,1439
社交,1440
手上,1441
一朵花,1442
封信,1443
晚,1444
许多,1445
排队,1446
等候,1447
岁数,1448
你好,1449
头疼,1450
三天,1451
那真,1452
整洁,1453
吓,1454
蛋黄,1455
新鲜事,1456
两倍,1457
水果,1458
视为,1459
健康,1460
食物,1461
坦率地,1462
运动,1463
感兴趣,1464
剪刀,1465
不好,1466
他会,1467
公事公办,1468
再说,1469
比较,1470
忠告,1471
出门儿,1472
告知,1473
睡衣,1474
更新,1475
网站,1476
据说,1477
老房子,1478
闹鬼,1479
忘记,1480
花生,1481
美味,1482
几分钟,1483
温馨,1484
纸,1485
太甜,1486
歌手,1487
真蠢,1488
给出,1489
苦尽甘来,1490
个价,1491
弄掉,1492
早,1493
两点,1494
半,1495
打网球,1496
烤,1497
些,1498
脆饼,1499
网路,1500
连线,1501
切断,1502
心里,1503
充满,1504
快乐,1505
买点,1506
怕,1507
过来,1508
祈祷,1509
每件事,1510
细心,1511
看看,1512
邮票,1513
收藏,1514
挖,1515
洞,1516
很忙,1517
忍受,1518
这种,1519
痛苦,1520
除了,1521
雨天,1522
接到,1523
国外,1524
电话,1525
理论,1526
不到,1527
老鼠,1528
进洞,1529
事情,1530
跳,1531
栅栏,1532
两者,1533
四月,1534
春雨,1535
有害,1536
正待,1537
行走,1538
尖叫,1539
才刚,1540
搬进,1541
郁金香,1542
盛开,1543
放学,1544
阿姨,1545
真正,1546
绅士,1547
出卖,1548
聊到,1549
凌晨,1550
脱掉,1551
常常,1552
科学,1553
热情,1554
他会来,1555
一部分,1556
上楼,1557
谣言,1558
传播,1559
开来,1560
助手,1561
相信,1562
无辜,1563
昵称,1564
瞪,1565
正忙,1566
鼓励,1567
想像力,1568
参观,1569
啊,1570
耳聋,1571
利率,1572
通货膨胀,1573
折纸,1574
飞机,1575
门,1576
踢开,1577
用尽,1578
火柴,1579
目前为止,1580
无论,1581
男生,1582
周日,1583
做礼拜,1584
该国,1585
严禁,1586
进口,1587
稀有,1588
野生动物,1589
最终,1590
实行,1591
两只手,1592
抓住,1593
绳子,1594
急,1595
扔掉,1596
舅舅家,1597
湖里,1598
游,1599
泳,1600
一列,1601
午休,1602
一会儿,1603
胃痛,1604
这条,1605
裤子,1606
合身,1607
再待,1608
多久,1609
内建,1610
数位,1611
我太累,1612
活,1613
抵达,1614
以及,1615
享受,1616
考虑一下,1617
最坏,1618
情况,1619
下会,1620
1000,1621
请问,1622
路上,1623
顺便去,1624
寿司,1625
赞成,1626
属于,1627
一切正常,1628
久留,1629
保险柜,1630
帽子,1631
戏院,1632
碰面,1633
谎,1634
简单,1635
演奏,1636
管风琴,1637
贝多芬,1638
伟大,1639
音乐家,1640
相扑,1641
缺乏,1642
常识,1643
大量,1644
钱财,1645
通宵,1646
备考,1647
除,1648
以外,1649
歌唱,1650
星期,1651
几会来,1652
悄悄地,1653
纸条,1654
收到,1655
音讯,1656
说唱,1657
音乐,1658
做作业,1659
预感,1660
战斗,1661
星期二,1662
星期三,1663
带刺,1664
玫瑰,1665
掴,1666
脸,1667
讨厌,1668
星期一,1669
重新,1670
监视,1671
姊姊,1672
感冒,1673
鸟类,1674
庇护所,1675
强壮,1676
牛奶,1677
一盏,1678
旧,1679
等待,1680
某个,1681
公车,1682
票价,1683
越来越,1684
音乐会,1685
一队,1686
迷,1687
国家,1688
不缺,1689
石油,1690
力气,1691
选出,1692
官员,1693
山峰,1694
珠穆朗玛峰,1695
高度,1696
聚会,1697
坐,1698
很久以前,1699
美丽,1700
夕阳,1701
错话,1702
议论,1703
轮到,1704
资本,1705
倒闭,1706
猪,1707
特性,1708
相同,1709
所有,1710
电视,1711
时间表,1712
旗子,1713
升起,1714
解释,1715
场,1716
长久,1717
度过,1718
拔除,1719
杂草,1720
否认,1721
幸存,1722
浑身,1723
酸痛,1724
一把,1725
不称,1726
弓,1727
久,1728
猴子,1729
跳到,1730
身上,1731
上海,1732
人口数量,1733
相当,1734
意志力,1735
很强,1736
保持,1737
微笑,1738
愚蠢,1739
正要,1740
当作,1741
家伙,1742
不懂事,1743
他进,1744
看电视,1745
三明治,1746
晚睡,1747
骑,1748
辛苦,1749
枪杀,1750
那匹马,1751
成人,1752
我爱你,1753
其他,1754
邀请,1755
知名,1756
女演员,1757
椅子,1758
而已,1759
同学,1760
不让,1761
任何人,1762
木材,1763
可燃,1764
热爱,1765
和平,1766
尽量避免,1767
制造,1768
七点钟,1769
车站,1770
聊起来,1771
三点钟,1772
来接,1773
在意,1774
怎么样,1775
鲸鱼,1776
等到,1777
变为,1778
绿色,1779
留给,1780
工人,1781
中午,1782
十二点,1783
事真难,1784
天公,1785
作美,1786
或者,1787
选中,1788
家庭作业,1789
学医,1790
全盘考虑,1791
出去,1792
小屋,1793
干净,1794
又,1795
总,1796
与众不同,1797
唱片,1798
还好,1799
作业,1800
离不开,1801
不错,1802
五十岁,1803
学,1804
一门,1805
Wifi,1806
下次,1807
该轮,1808
改掉,1809
坏习惯,1810
选,1811
桃子,1812
很甜,1813
帮不了,1814
昨天早上,1815
外面,1816
起雾,1817
三十分钟,1818
财富,1819
看着,1820
资格,1821
拿来,1822
演讲,1823
江户,1824
时代,1825
赏月,1826
宴会,1827
受欢迎,1828
人会,1829
拆除,1830
落泪,1831
顺利,1832
无数,1833
星星,1834
天上,1835
闪烁,1836
禁止,1837
针对,1838
儿童,1839
广告,1840
样,1841
为荣,1842
新鲜,1843
草莓,1844
思考,1845
湿透,1846
威胁,1847
假定,1848
那会,1849
订房,1850
汤姆生,1851
气,1852
四十五分,1853
怕死,1854
跳舞,1855
万美元,1856
刚回到,1857
马比,1858
鹿强,1859
骂,1860
懒惰,1861
铐,1862
过去,1863
街上,1864
遇到,1865
想象,1866
刚好,1867
意思,1868
期间,1869
万一,1870
船运,1871
迟,1872
姓名,1873
信封,1874
犬,1875
学新,1876
诡计,1877
苍蝇,1878
蚊子,1879
干扰,1880
冥想,1881
富得,1882
好像,1883
玩得,1884
说谎,1885
消失,1886
其他人,1887
粗鲁,1888
尤其,1889
耐心,1890
雨,1891
赢,1892
只卖,1893
女鞋,1894
乐团,1895
失败,1896
一条,1897
连衣裙,1898
驾车,1899
连,1900
想都不想,1901
除掉,1902
核子武器,1903
请教,1904
这会,1905
绝好,1906
太吵,1907
从来不,1908
关于,1909
理所当然,1910
履行诺言,1911
此处,1912
禁止停车,1913
他家,1914
递,1915
毛巾,1916
大声,1917
接近,1918
通常,1919
饭后,1920
喝茶,1921
出过,1922
国,1923
售价,1924
红墨水,1925
接听,1926
约,1927
三十个,1928
交通堵塞,1929
耽搁,1930
圣诞礼物,1931
缓期,1932
执行,1933
最后,1934
关头,1935
课本,1936
染发,1937
火警,1938
长大,1939
五点钟,1940
面带笑容,1941
开玩笑,1942
关闭,1943
很小,1944
游得,1945
视力,1946
放,1947
轻松,1948
那种,1949
燃油,1950
表坏,1951
这颗,1952
气球,1953
绊住,1954
姑姑,1955
裙子,1956
功课,1957
半小时,1958
真糟糕,1959
挑战,1960
收获,1961
周游,1962
世界各地,1963
意义,1964
有钱,1965
天空,1966
变黑,1967
所以,1968
出席,1969
小看,1970
准时,1971
缺席,1972
剩下,1973
一点点,1974
海洋,1975
生物学家,1976
允许,1977
访问,1978
纪录,1979
脾气,1980
坏,1981
周年纪念,1982
非常感谢,1983
怀中,1984
熟睡,1985
煎饼,1986
拉下,1987
考虑,1988
从没,1989
想过,1990
计算机,1991
电池,1992
没电,1993
替,1994
住在一起,1995
差点,1996
溺水,1997
很差,1998
圣诞节,1999
快到,2000
两袋,2001
爆米花,2002
厕所,2003
冲水,2004
正常,2005
找零,2006
社的,2007
成员,2008
失望,2009
请来,2010
埃,2011
博拉,2012
通过,2013
体液,2014
喝酒,2015
画,2016
再试一次,2017
千叶,2018
球场,2019
给你个,2020
撞车,2021
是因为,2022
刹车,2023
手脚,2024
打嗝,2025
知识,2026
赶不上,2027
五年,2028
俱乐部,2029
留意,2030
方法,2031
袋子,2032
看不起,2033
我想,2034
天气情况,2035
而定,2036
还要,2037
五分钟,2038
普通,2039
上班族,2040
困死,2041
大约,2042
漆成,2043
痊愈,2044
鸭子,2045
空调,2046
可,2047
隐藏,2048
问问,2049
妻子,2050
收养,2051
我怕,2052
树上,2053
开个,2054
账户,2055
赶路,2056
五点,2057
德国,2058
出生,2059
肚子饿,2060
迷人,2061
女孩子,2062
上午,2063
大多数,2064
格式,2065
塔,2066
疗法,2067
休,2068
假,2069
上床睡觉,2070
关灯,2071
美好,2072
时光,2073
茶,2074
胃,2075
胀满,2076
磁带,2077
很少,2078
带给,2079
想见,2080
姐姐,2081
努力学习,2082
急性子,2083
老师,2084
火转,2085
小,2086
港口,2087
哪来,2088
无论如何,2089
志贺,2090
高原,2091
时会,2092
专注,2093
明年,2094
共事,2095
放到,2096
摩托车,2097
背上,2098
今年,2099
三十岁,2100
在我看来,2101
中餐,2102
没来,2103
糖,2104
药,2105
那幢,2106
被遗弃,2107
遵守,2108
一刻,2109
浪费,2110
这名,2111
男子,2112
抢走了,2113
包包,2114
幸福,2115
脚踏车,2116
双载,2117
危险,2118
尽量,2119
忘掉,2120
我见,2121
渡河,2122
条,2123
请用,2124
座,2125
家常菜,2126
太快,2127
一餐,2128
饥饿,2129
爱看,2130
打字,2131
不太可能,2132
姐妹,2133
一堂,2134
艺术课,2135
及时,2136
赶到,2137
爵士乐,2138
大概,2139
玛莉家,2140
森林,2141
安静下来,2142
兄弟姐妹,2143
踢足球,2144
几十个,2145
示威游行,2146
蓝,2147
前有,2148
人生,2149
依然,2150
喉咙,2151
看书,2152
鸟取,2153
八,2154
减去,2155
三,2156
五,2157
这块,2158
地毯,2159
手工,2160
制作,2161
几块,2162
这位,2163
老太太,2164
洗个,2165
澡,2166
能看懂,2167
德语,2168
上花,2169
研读,2170
收音机,2171
哭哭啼啼,2172
前夫,2173
真是,2174
借用,2175
笨蛋,2176
责备,2177
手电筒,2178
饿,2179
寒假,2180
令人满意,2181
试一下,2182
清扫车,2183
库,2184
运气,2185
谷歌,2186
假期,2187
傲慢,2188
特别强调,2189
恐怕,2190
安全,2191
担忧,2192
轻松愉快,2193
公事包,2194
文件,2195
损失,2196
一百万,2197
日圆,2198
海边,2199
一间,2200
大狗,2201
做错,2202
舒适,2203
移走,2204
腾出,2205
空间,2206
是否,2207
理解,2208
高须,2209
诊所,2210
人造黄油,2211
代替,2212
花比,2213
花早,2214
开花,2215
假装,2216
听见,2217
借支,2218
几点钟,2219
奉献给,2220
琼,2221
电话号码,2222
环球旅行,2223
想着,2224
塑胶,2225
制成,2226
为何,2227
想当,2228
多三倍,2229
钢琴,2230
一架,2231
上空,2232
飞行,2233
忽视,2234
预约,2235
看诊,2236
对面,2237
讲座,2238
很长,2239
即将,2240
调音师,2241
很多年,2242
女性朋友,2243
同志,2244
酒吧,2245
沉浸,2246
书里,2247
咄咄逼人,2248
对待,2249
他人,2250
莎士比亚,2251
作品,2252
难读,2253
白色,2254
阳伞,2255
风景,2256
陌生,2257
熨,2258
衬衫,2259
想来,2260
犯,2261
失误,2262
同,2263
借,2264
灰色,2265
西装,2266
服,2267
无期徒刑,2268
一支,2269
小麦,2270
做成,2271
啜泣,2272
